breed,group
bluebird,Small
budgerigar,Small
canary,Small
chickadee,Small
cockatiel,Small
finch,Small
lovebird,Small
nuthatch,Small
parakeet,Small
quaker,Small
sparrow,Small
warbler,Small
waxwing,Small
wren,Small
bantam,Medium
barred rock,Medium
catbird,Medium
chicken,Medium
conure,Medium
crow,Medium
dove,Medium
duck,Medium
grackle,Medium
guinea,Medium
leghorn,Medium
mockingbird,Medium
orpington,Medium
pigeon,Medium
rhode island,Medium
silkie,Medium
song bird,Medium
cockatoo,Large
goose,Large
hawk,Large
heron,Large
macaw,Large
muscovy,Large
owl,Large
parrot,Large
peafowl,Large
pheasant,Large
turkey,Large
vulture,Large
whimbrel,Large
