breed,akc_group
affenpinscher,Toy Group
afghan hound,Hound Group
airedale terrier,Terrier Group
akbash,Terrier Group
akita,Working Group
alaskan husky,Working Group
alaskan klee kai,Working Group
alaskan malamute,Working Group
american bulldog,Foundation Stock Service
american eskimo,Hound Group
american foxhound,Hound Group
american pit bull terrier,Foundation Stock Service
american staffordshire terrier,Terrier Group
anatol shepherd,Sporting Group
australian cattle dog,Herding Group
australian kelpie,Foundation Stock Service
australian shepherd,Herding Group
australian terrier,Terrier Group
basenji,Hound Group
basset hound,Hound Group
beagle,Hound Group
bearded collie,Herding Group
beauceron,Herding Group
bedlington terr,Herding Group
belgian malinois,Herding Group
belgian sheepdog,Herding Group
belgian tervuren,Herding Group
bernese mountain dog,Working Group
bichon frise,Non-Sporting Group
black,Miscellaneous Class
black mouth cur,Hound Group
bloodhound,Hound Group
blue lacy,Hound Group
bluetick hound,Hound Group
boerboel,Working Group
border collie,Herding Group
border terrier,Terrier Group
boston terrier,Non-Sporting Group
bouv flandres,Non-Sporting Group
boxer,Working Group
boykin span,Working Group
briard,Herding Group
brittany,Sporting Group
bruss griffon,Foundation Stock Service
bull terrier,Terrier Group
bull terrier miniature,Terrier Group
bulldog,Non-Sporting Group
bullmastiff,Working Group
cairn terrier,Terrier Group
canaan dog,Herding Group
cane corso,Working Group
cardigan welsh corgi,Herding Group
carolina dog,Foundation Stock Service
catahoula,Foundation Stock Service
cavalier span,Toy Group
chesa bay retr,Terrier Group
chihuahua longhair,Toy Group
chihuahua shorthair,Toy Group
chinese crested,Toy Group
chinese sharpei,Non-Sporting Group
chow chow,Non-Sporting Group
clumber spaniel,Sporting Group
cocker spaniel,Sporting Group
collie rough,Herding Group
collie smooth,Herding Group
coton de tulear,Non-Sporting Group
dachshund,Hound Group
dachshund longhair,Hound Group
dachshund stan,Hound Group
dachshund wirehair,Hound Group
dalmatian,Non-Sporting Group
dandie dinmont,Non-Sporting Group
doberman pinsch,Foundation Stock Service
dogo argentino,Working Group
dogue de bordeaux,Working Group
dutch sheepdog,Foundation Stock Service
dutch shepherd,Miscellaneous Class
eng toy spaniel,Miscellaneous Class
english bulldog,Miscellaneous Class
english cocker spaniel,Sporting Group
english coonhound,Sporting Group
english foxhound,Hound Group
english pointer,Hound Group
english setter,Sporting Group
english shepherd,Sporting Group
english springer spaniel,Sporting Group
entlebucher,Toy Group
feist,Foundation Stock Service
field spaniel,Sporting Group
finnish spitz,Non-Sporting Group
flat coat retriever,Non-Sporting Group
french bulldog,Non-Sporting Group
german pinscher,Working Group
german shepherd,Working Group
german shorthair pointer,Herding Group
german wirehaired pointer,Sporting Group
glen of imaal,Working Group
golden retriever,Sporting Group
gordon setter,Sporting Group
grand basset griffon vendeen,Sporting Group
great dane,Working Group
great pyrenees,Working Group
greater swiss mountain dog,Working Group
greyhound,Hound Group
harrier,Hound Group
havanese,Toy Group
hovawart,Foundation Stock Service
ibizan hound,Hound Group
irish setter,Sporting Group
irish terrier,Terrier Group
irish wolfhound,Hound Group
italian greyhound,Toy Group
jack russell terrier,Toy Group
japanese chin,Toy Group
jindo,Foundation Stock Service
kangal,Foundation Stock Service
keeshond,Non-Sporting Group
kuvasz,Working Group
labrador retriever,Sporting Group
lakeland terrier,Terrier Group
landseer,Miscellaneous Class
leonberger,Working Group
lhasa apso,Non-Sporting Group
lowchen,Non-Sporting Group
maltese,Toy Group
manchester terrier,Toy Group
mastiff,Working Group
mexican hairless,Working Group
miniature pinscher,Toy Group
miniature poodle,Toy Group
miniature schnauzer,Terrier Group
neapolitan mastiff,Working Group
newfoundland,Working Group
norfolk terrier,Terrier Group
norwegian elkhound,Hound Group
norwich terrier,Terrier Group
nova scotia duck tolling retriever,Sporting Group
old english bulldog,Sporting Group
old english sheepdog,Herding Group
otterhound,Hound Group
papillon,Toy Group
parson russell terrier,Terrier Group
patterdale terr,Terrier Group
pbgv,Terrier Group
pekingese,Toy Group
pembroke welsh corgi,Herding Group
pharaoh hound,Hound Group
picardy sheepdog,Hound Group
pit bull,Hound Group
plott hound,Hound Group
podengo pequeno,Hound Group
pointer,Sporting Group
pomeranian,Toy Group
port water dog,Foundation Stock Service
presa canario,Working Group
pug,Toy Group
queensland heeler,Herding Group
rat terrier,Terrier Group
redbone hound,Hound Group
rhod ridgeback,Hound Group
rottweiler,Working Group
saluki,Hound Group
samoyed,Working Group
schipperke,Non-Sporting Group
schnauzer giant,Non-Sporting Group
scottish terrier,Terrier Group
sealyham terr,Terrier Group
shetland sheepdog,Herding Group
shiba inu,Non-Sporting Group
shih tzu,Toy Group
siberian husky,Working Group
silky terrier,Toy Group
skye terrier,Terrier Group
smooth fox terrier,Terrier Group
soft coated wheaten terrier,Terrier Group
spanish mastiff,Foundation Stock Service
spanish water dog,Herding Group
spinone italiano,Sporting Group
st. bernard rough coat,Sporting Group
st. bernard smooth coat,Sporting Group
staffordshire,Foundation Stock Service
standard poodle,Terrier Group
standard schnauzer,Working Group
sussex span,Working Group
swedish vallhund,Herding Group
swiss hound,Herding Group
tibetan mastiff,Working Group
tibetan spaniel,Non-Sporting Group
tibetan terrier,Non-Sporting Group
toy fox terrier,Toy Group
toy poodle,Toy Group
treeing cur,Foundation Stock Service
treeing tennesse brindle,Foundation Stock Service
treeing walker coonhound,Hound Group
unknown,Hound Group
vizsla,Sporting Group
weimaraner,Sporting Group
welsh springer spaniel,Sporting Group
welsh terrier,Terrier Group
west highland,Terrier Group
whippet,Hound Group
wire hair fox terrier,Terrier Group
wirehaired pointing griffon,Sporting Group
wolf hybrid,Sporting Group
yorkshire terrier,Toy Group
