original_value,new_value
american,american
sable,sable
angora-english,english angora
angora-french,french angora
angora-satin,satin angora
belgian hare,belgian hare
beveren,beveren
britannia petit,britannia petit
californian,californian
checkered giant,checkered giant
cinnamon,cinnamon
dutch,dutch
dwarf hotot,dwarf hotot
english spot,english spot
flemish giant,flemish giant
harlequin,harlequin
havana,havana
himalayan,himalayan
hotot,hotot
jersey wooly,jersey wooly
lionhead,lionhead
lop-amer fuzzy,american fuzzy lop
lop-english,english lop
lop-holland,holland lop
lop-mini,mini lop
netherlnd dwarf,netherlnd dwarf
new zealand wht,new zealand white
polish,polish
rex,rex
rex-mini,mini rex
rhinelander,rhinelander
silver,silver
silkie,silkie
